,artist,year,song,genre,duration_min,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1067,Shontelle,2010,Impossible,"pop, R&B",3.78,35,0.599,0.624,8,-3.631,1,0.0343,0.385,0.0,0.125,0.539,90.034
1068,Take That,2010,The Flood,pop,4.82,57,0.514,0.83,11,-6.077,0,0.044,0.0378,1.43e-06,0.122,0.138,100.631
1069,Trey Songz,2009,Say Aah (feat. Fabolous),"hip hop, pop, R&B",3.46,54,0.724,0.87,1,-3.614,0,0.113,0.00453,0.0,0.833,0.81,93.01
1071,Drake,2010,Over,"hip hop, pop, R&B",3.89,57,0.325,0.848,7,-5.611,1,0.279,0.0109,0.0,0.124,0.433,100.093
1072,Example,2010,Kickstarts,"pop, Dance/Electronic",3.03,63,0.61,0.836,5,-4.455,1,0.0573,0.00374,0.0,0.358,0.657,126.056
1073,Plan B,2010,She Said,Dance/Electronic,3.48,62,0.72,0.538,3,-5.85,0,0.141,0.301,3.03e-06,0.144,0.815,147.007
1074,The Saturdays,2010,Higher,"pop, Dance/Electronic",3.46,61,0.639,0.862,10,-3.292,1,0.0341,0.049,6.81e-06,0.264,0.596,117.011
1075,Jay Sean,2009,Do You Remember,"hip hop, pop, R&B",3.51,2,0.855,0.668,11,-4.892,1,0.0644,0.0242,0.0,0.102,0.803,125.846
1076,Usher,2010,Hey Daddy (Daddy's Home),"hip hop, pop, R&B",3.73,60,0.59,0.698,11,-4.262,1,0.0286,0.000176,0.0,0.107,0.352,95.975
1077,Lil Wayne,2010,Right Above It,"hip hop, pop",4.53,68,0.376,0.841,3,-4.348,0,0.356,0.0435,0.0,0.578,0.463,76.052
1078,The Wanted,2010,All Time Low,"pop, Dance/Electronic",3.42,18,0.689,0.615,8,-5.022,0,0.0563,0.352,0.0,0.0789,0.783,134.036
1079,Kesha,2010,Your Love Is My Drug,"pop, Dance/Electronic",3.12,69,0.826,0.612,1,-3.891,1,0.0982,0.00681,0.0,0.0889,0.756,120.057
1080,Ellie Goulding,2010,Starry Eyed,"pop, rock, Dance/Electronic",2.94,54,0.504,0.814,5,-5.346,0,0.0389,0.135,1.42e-05,0.324,0.596,149.967
1081,Drake,2010,Find Your Love,"hip hop, pop, R&B",3.48,56,0.625,0.613,6,-6.005,0,0.173,0.0209,0.0,0.0286,0.738,96.033
1082,Jason Derulo,2010,Ridin' Solo,"hip hop, pop",3.6,66,0.442,0.83,9,-4.02,1,0.146,0.128,0.0,0.129,0.578,89.338
1083,Two Door Cinema Club,2010,What You Know,"World/Traditional, rock, pop",3.16,0,0.55,0.753,6,-4.003,0,0.0407,0.000665,7.74e-06,0.0921,0.841,139.048
1084,JAY-Z,2009,Young Forever,hip hop,4.23,65,0.637,0.69,9,-3.214,0,0.0693,0.417,0.0,0.211,0.103,140.329
1085,Young Money,2009,BedRock,"hip hop, pop",4.8,71,0.733,0.664,8,-6.163,1,0.295,0.102,0.0,0.191,0.557,148.005
1086,B.o.B,2010,Nothin' on You (feat. Bruno Mars),"hip hop, pop",4.47,74,0.688,0.853,10,-5.814,1,0.0493,0.386,0.0,0.0862,0.743,103.993
1087,Katy Perry,2010,Teenage Dream,pop,3.8,69,0.719,0.798,10,-4.582,1,0.0361,0.0162,2.34e-06,0.134,0.591,120.011
1088,Scouting For Girls,2017,This Ain't a Love Song,"pop, rock",3.51,52,0.458,0.905,0,-4.157,1,0.0451,0.000431,0.0,0.378,0.553,176.667
1089,Travie McCoy,2010,Billionaire (feat. Bruno Mars),"hip hop, pop",3.52,72,0.633,0.673,6,-6.403,0,0.258,0.297,0.0,0.206,0.659,86.776
1090,Owl City,2009,Fireflies,"rock, pop",3.81,78,0.512,0.662,3,-6.797,1,0.0439,0.0275,0.0,0.118,0.472,180.114
1091,Alicia Keys,2009,Empire State of Mind (Part II) Broken Down,"pop, R&B",3.61,71,0.484,0.368,6,-7.784,1,0.0341,0.74,3.82e-05,0.118,0.142,92.923
1092,Lady A,2010,Need You Now,"pop, country",3.94,73,0.581,0.717,4,-4.433,1,0.0318,0.0298,0.000186,0.243,0.316,107.884
1093,Taylor Swift,2010,Back To December,pop,4.88,65,0.529,0.67,2,-4.663,1,0.0303,0.117,0.0,0.334,0.286,141.893
1094,Neon Trees,2010,Animal,"rock, pop",3.54,64,0.482,0.829,5,-5.576,1,0.0437,0.00034,0.0,0.378,0.739,147.99
1095,Kris Allen,2009,Live Like We're Dying,pop,3.54,51,0.589,0.893,0,-2.948,1,0.0397,0.0273,0.0,0.343,0.94,92.011
1096,Matt Cardle,2011,When We Collide,pop,3.77,46,0.443,0.683,2,-5.521,1,0.0343,0.0198,5.26e-06,0.313,0.447,81.986
1097,Robyn,2010,Dancing On My Own,"pop, Dance/Electronic",4.81,0,0.687,0.865,6,-4.663,1,0.0349,0.0743,0.225,0.0966,0.261,117.015
1098,The Band Perry,2010,If I Die Young,country,3.71,64,0.606,0.497,4,-6.611,1,0.0277,0.348,0.0,0.275,0.362,130.739
1099,B.o.B,2010,Magic (feat. Rivers Cuomo),"hip hop, pop",3.27,65,0.549,0.932,8,-4.11,0,0.343,0.0127,0.0,0.347,0.787,82.439
1100,Adele,2011,Rolling in the Deep,"pop, R&B",3.8,2,0.73,0.77,8,-5.114,1,0.0298,0.138,0.0,0.0473,0.507,104.948
1101,Maroon 5,2010,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",pop,3.36,77,0.722,0.761,11,-4.459,0,0.0475,0.0117,0.0,0.315,0.624,128.044
1102,LMFAO,2011,Party Rock Anthem,"hip hop, pop, Dance/Electronic",4.37,73,0.751,0.736,5,-4.168,0,0.156,0.0206,0.0,0.265,0.352,130.014
1103,Katy Perry,2010,Firework,pop,3.8,72,0.638,0.832,8,-5.039,1,0.049,0.141,0.0,0.113,0.648,124.071
1104,Bruno Mars,2010,Grenade,pop,3.7,78,0.704,0.558,2,-7.273,0,0.0542,0.148,0.0,0.107,0.245,110.444
1105,Pitbull,2011,Hey Baby (Drop It to the Floor) (feat. T-Pain),"hip hop, pop, latin",3.91,71,0.595,0.912,10,-3.428,0,0.0884,0.0434,0.0,0.259,0.762,128.024
1106,Alexandra Stan,2011,Mr. Saxobeat,"pop, Dance/Electronic",3.25,0,0.726,0.931,11,-4.152,0,0.0468,0.0218,0.000283,0.143,0.797,126.976
1107,David Guetta,2010,Who's That Chick? (feat. Rihanna),"hip hop, pop, Dance/Electronic",3.35,71,0.675,0.602,11,-4.733,0,0.116,0.00377,0.0,0.0458,0.933,127.938
1108,Jennifer Lopez,2011,On The Floor,"hip hop, pop, R&B",4.75,79,0.73,0.777,3,-5.194,0,0.0496,0.105,0.000478,0.0691,0.575,130.0
1109,Rihanna,2010,S&M,"hip hop, pop, R&B",4.06,73,0.767,0.682,1,-5.02,1,0.042,0.0113,0.00016,0.104,0.833,127.975
1110,Kesha,2010,Blow,"pop, Dance/Electronic",3.67,69,0.753,0.729,11,-3.862,0,0.0392,0.00334,5.66e-05,0.073,0.812,120.013
1111,Snoop Dogg,2011,Sweat - Remix,"hip hop, pop",3.27,68,0.813,0.732,7,-5.636,1,0.03,0.0597,0.00137,0.0826,0.731,130.02
1112,Taio Cruz,2010,Higher,"hip hop, pop",3.13,61,0.672,0.907,8,-5.069,0,0.0721,0.0048,3.4e-05,0.156,0.746,128.027
1113,Usher,2010,More - RedOne Jimmy Joker Remix,"hip hop, pop, R&B",3.67,67,0.551,0.893,7,-2.628,1,0.0543,0.00166,0.0,0.348,0.794,125.083
1114,Example,2011,Changed the Way You Kiss Me - Radio Edit,"pop, Dance/Electronic",3.26,42,0.578,0.857,4,-3.78,0,0.041,0.00548,0.00162,0.0948,0.188,126.979
1115,Black Eyed Peas,2010,Just Can’t Get Enough,"hip hop, pop",3.66,76,0.659,0.628,0,-8.685,0,0.179,0.186,0.0,0.105,0.262,94.05
1116,David Guetta,2012,Where Them Girls At (feat. Nicki Minaj & Flo Rida),"hip hop, pop, Dance/Electronic",3.25,72,0.666,0.876,3,-3.078,1,0.0414,0.055,0.0,0.259,0.552,129.884
1117,Lykke Li,2011,I Follow Rivers - The Magician Remix,"pop, Dance/Electronic",4.69,51,0.786,0.709,9,-5.737,0,0.0395,0.0192,0.00118,0.0845,0.285,122.019
1118,Pitbull,2011,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)","hip hop, pop, latin",4.21,81,0.671,0.939,8,-3.206,1,0.161,0.191,0.0,0.298,0.53,129.024
1119,Selena Gomez & The Scene,2011,Love You Like A Love Song,"pop, Dance/Electronic",3.14,79,0.858,0.678,1,-3.87,0,0.0469,0.0761,0.0,0.0741,0.922,117.009
1120,Wiz Khalifa,2011,Black and Yellow,"hip hop, pop",3.63,75,0.684,0.834,2,-4.524,0,0.0675,0.0646,0.0,0.271,0.538,164.02
1121,Katy Perry,2012,E.T.,pop,3.83,65,0.62,0.869,1,-5.252,1,0.175,0.0181,0.0,0.369,0.76,151.684
1122,Britney Spears,2011,I Wanna Go,pop,3.5,66,0.696,0.546,5,-6.55,1,0.0414,0.00379,3.8e-06,0.332,0.787,130.002
1123,Gym Class Heroes,2011,Stereo Hearts (feat. Adam Levine),"hip hop, pop",3.52,81,0.646,0.795,9,-3.293,1,0.0976,0.0319,0.0,0.267,0.796,89.99
1125,Enrique Iglesias,2010,Tonight (I'm Fuckin' You),"pop, latin",3.87,63,0.648,0.89,0,-3.982,0,0.0523,0.0294,3.58e-06,0.116,0.321,125.953
1126,Jeremih,2010,Down On Me,"hip hop, pop, R&B",3.81,72,0.7,0.598,2,-7.783,1,0.114,0.0369,0.0,0.111,0.594,160.041
1127,Sak Noel,2011,Loca People - Radio Edit,Dance/Electronic,3.59,49,0.926,0.808,11,-3.148,0,0.0599,0.000915,0.00327,0.0515,0.701,127.998
1128,Olly Murs,2011,Heart Skips a Beat (feat. Rizzle Kicks),"pop, Dance/Electronic",3.37,61,0.843,0.881,9,-3.951,1,0.0581,0.14,0.0,0.0765,0.876,110.621
1129,LMFAO,2011,Sexy And I Know It,"hip hop, pop, Dance/Electronic",3.32,67,0.707,0.861,7,-4.225,1,0.316,0.1,0.0,0.191,0.795,130.021
1130,Cobra Starship,2011,You Make Me Feel... (feat. Sabi),"pop, Dance/Electronic",3.59,70,0.668,0.857,7,-2.944,0,0.0535,0.0191,6.71e-06,0.0385,0.748,131.959
1131,Jessie J,2011,Do It Like A Dude,"hip hop, pop",3.25,57,0.663,0.843,2,-3.672,1,0.049,0.0491,0.0,0.364,0.375,140.036
1132,DJ Fresh,2012,Louder (feat. Sian Evans) - Radio Edit,"pop, Dance/Electronic",3.45,55,0.31,0.926,6,-1.131,0,0.0464,0.0184,0.00792,0.483,0.493,139.85
1133,Waka Flocka Flame,2010,No Hands (feat. Roscoe Dash & Wale),"hip hop, pop",4.4,76,0.76,0.595,1,-6.366,1,0.0391,0.00544,0.0,0.241,0.361,131.497
1134,Nickelback,2011,When We Stand Together,"rock, metal",3.18,65,0.446,0.9,10,-3.541,0,0.0489,0.000102,1.89e-05,0.0404,0.88,187.961
1135,M83,2011,Midnight City,"rock, pop, metal, Dance/Electronic",4.07,76,0.507,0.729,11,-5.399,0,0.0393,0.0182,1.4e-06,0.0658,0.272,105.013
1136,Britney Spears,2011,Till the World Ends,pop,3.97,65,0.693,0.705,8,-5.747,1,0.0665,0.0228,0.0,0.202,0.45,131.951
1137,Labrinth,2012,Earthquake (feat. Tinie Tempah),pop,4.58,62,0.54,0.856,0,-3.966,0,0.1,0.109,0.0,0.276,0.258,153.071
1138,Jason Derulo,2011,Don't Wanna Go Home,"hip hop, pop",3.43,63,0.671,0.808,2,-4.861,0,0.0652,0.02,0.0,0.134,0.637,121.956
1139,Coldplay,2011,Paradise,"rock, pop",4.65,82,0.449,0.585,5,-6.761,1,0.0268,0.0509,8.75e-05,0.0833,0.212,139.631
1140,Katy Perry,2012,Last Friday Night (T.G.I.F.),pop,3.85,74,0.649,0.815,3,-3.796,0,0.0415,0.00125,4.31e-05,0.671,0.765,126.03
1141,Adele,2011,Set Fire to the Rain,"pop, R&B",4.05,2,0.603,0.67,2,-3.882,0,0.0249,0.00408,1.66e-06,0.112,0.445,107.995
1142,Dr. Dre,2011,I Need A Doctor,hip hop,4.73,71,0.594,0.946,3,-4.521,1,0.452,0.0869,0.0,0.306,0.397,155.826
1143,Lil Wayne,2011,6 Foot 7 Foot,"hip hop, pop",4.14,1,0.364,0.752,2,-5.429,1,0.304,0.0007,0.0,0.318,0.606,79.119
1144,DJ Khaled,2011,I'm On One,"hip hop, pop",4.94,70,0.413,0.807,11,-3.499,0,0.318,0.0536,0.0,0.631,0.438,149.33
1145,Chris Brown,2011,Look At Me Now (feat. Lil' Wayne & Busta Rhymes),"hip hop, pop, R&B",3.71,71,0.767,0.677,11,-6.128,0,0.184,0.0339,5.51e-06,0.144,0.538,146.155
1146,Far East Movement,2010,Rocketeer,"hip hop, pop",3.52,61,0.664,0.845,4,-6.115,0,0.0461,0.181,0.0,0.267,0.357,96.005
1147,The Wanted,2011,Glad You Came,"pop, Dance/Electronic",3.3,77,0.722,0.851,7,-3.873,0,0.0639,0.0319,0.0,0.108,0.452,126.885
1148,Kesha,2010,We R Who We R,"pop, Dance/Electronic",3.41,71,0.736,0.817,8,-4.9,1,0.0407,0.00987,0.00167,0.117,0.653,119.95
1149,Kelly Rowland,2011,Motivation,"hip hop, pop, R&B",3.84,65,0.744,0.672,9,-5.589,0,0.0418,0.187,0.000123,0.105,0.266,140.889
1150,Rihanna,2011,We Found Love,"hip hop, pop, R&B",3.59,75,0.735,0.766,1,-4.485,1,0.0383,0.025,0.00138,0.108,0.6,127.985
1151,Nicole Scherzinger,2011,Don't Hold Your Breath,"pop, Dance/Electronic",3.29,62,0.66,0.797,5,-6.096,0,0.0262,0.00646,0.000108,0.187,0.674,110.955
1152,Mann,2011,Buzzin Remix,"hip hop, pop",3.74,48,0.687,0.939,10,-4.372,0,0.146,0.0887,0.0,0.283,0.539,104.029
1153,Chris Brown,2011,Yeah 3x,"hip hop, pop, R&B",4.03,69,0.705,0.882,11,-3.201,0,0.0445,0.000369,1.16e-06,0.0934,0.7,130.0
1154,Swedish House Mafia,2011,Save The World,"pop, Dance/Electronic",3.56,65,0.507,0.665,0,-7.598,1,0.0474,0.0144,0.0,0.0759,0.4,126.879
1155,Kanye West,2010,All Of The Lights,hip hop,4.99,76,0.531,0.803,1,-3.284,1,0.0717,0.0796,1.71e-05,0.176,0.221,142.113
1156,Miguel,2010,Sure Thing,"pop, R&B",3.26,78,0.684,0.607,11,-8.127,0,0.1,0.0267,0.000307,0.191,0.498,81.001
1157,Diddy - Dirty Money,2010,Coming Home,"hip hop, pop, R&B",3.98,69,0.392,0.839,7,-1.921,1,0.193,0.158,0.0,0.3,0.232,168.001
1159,Chris Brown,2019,Beautiful People,"hip hop, pop, R&B",3.76,53,0.415,0.775,5,-6.366,0,0.161,0.0658,0.00431,0.0843,0.536,127.898
1160,Avril Lavigne,2011,What the Hell,pop,3.68,74,0.578,0.926,6,-3.689,0,0.0548,0.00472,0.0127,0.14,0.877,149.976
1161,Professor Green,2011,Read All About It,Dance/Electronic,3.93,39,0.656,0.752,11,-5.522,0,0.0434,0.336,0.0,0.223,0.445,100.963
1162,Chase & Status,2011,Blind Faith,Dance/Electronic,3.89,60,0.45,0.846,9,-4.712,0,0.0472,0.00523,0.0,0.228,0.402,140.042
1163,Chip,2011,Champion (feat. Chris Brown),"hip hop, Dance/Electronic",3.95,48,0.415,0.934,6,-2.914,0,0.24,0.078,0.0,0.145,0.52,190.151
1164,Selena Gomez & The Scene,2011,Who Says,"pop, Dance/Electronic",3.26,76,0.682,0.927,4,-2.915,1,0.0479,0.0843,0.0,0.149,0.744,101.019
1165,Rizzle Kicks,2011,Down With The Trumpets,hip hop,3.11,59,0.753,0.88,4,-4.689,0,0.0806,0.087,0.0,0.24,0.794,115.057
1166,Lady Gaga,2011,Born This Way,pop,4.34,72,0.587,0.828,11,-5.108,1,0.161,0.00327,0.0,0.331,0.494,123.907
1167,Nicki Minaj,2010,Super Bass,"hip hop, pop",3.33,0,0.72,0.861,11,-4.339,1,0.209,0.269,5.11e-06,0.601,0.669,126.991
1168,Mac Miller,2011,Donald Trump,hip hop,2.77,61,0.636,0.901,1,-7.094,0,0.118,0.119,0.0,0.391,0.836,162.994
1169,Calvin Harris,2012,Bounce (feat. Kelis) - Radio Edit,"hip hop, pop, Dance/Electronic",3.7,62,0.779,0.963,2,-2.125,0,0.0399,0.0334,0.493,0.664,0.759,127.941
1170,David Guetta,2012,Without You (feat. Usher),"hip hop, pop, Dance/Electronic",3.47,70,0.608,0.614,2,-3.727,1,0.0285,0.227,4.06e-06,0.157,0.402,127.884
1171,Foster The People,2011,Pumped Up Kicks,"rock, pop",3.99,82,0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975
1172,Drake,2011,Headlines,"hip hop, pop, R&B",3.93,74,0.636,0.566,6,-7.16,0,0.106,0.365,0.000353,0.0917,0.425,151.894
1173,Jessie J,2011,Price Tag,"hip hop, pop",3.72,73,0.636,0.831,5,-3.945,1,0.182,0.0294,3.85e-06,0.272,0.668,175.015
1174,Jason Aldean,2010,Dirt Road Anthem,country,3.82,53,0.678,0.739,2,-5.068,1,0.0352,0.32,2.36e-06,0.116,0.658,127.037
1175,Wiz Khalifa,2011,Roll Up,"hip hop, pop",3.8,63,0.523,0.805,3,-5.473,1,0.192,0.0524,0.0,0.0914,0.602,125.358
1176,OneRepublic,2009,Good Life,pop,4.22,72,0.634,0.69,6,-7.804,1,0.052,0.0771,0.0,0.132,0.645,94.988
1177,Bad Meets Evil,2011,Lighters,"hip hop, pop",5.06,68,0.676,0.695,0,-8.327,1,0.245,0.352,0.0,0.119,0.144,90.268
1178,Bruno Mars,2010,The Lazy Song,pop,3.15,75,0.794,0.711,8,-5.124,0,0.0699,0.3,0.0,0.0955,0.955,174.915
1179,Lupe Fiasco,2011,The Show Goes On,"hip hop, pop",3.99,70,0.591,0.889,7,-3.839,1,0.115,0.0189,0.0,0.155,0.65,143.067
1180,James Morrison,2011,I Won't Let You Go,"pop, R&B",3.82,64,0.537,0.611,0,-6.427,1,0.0304,0.229,0.0,0.146,0.161,105.955
1181,Jason Derulo,2011,It Girl,"hip hop, pop",3.2,70,0.668,0.718,1,-4.736,0,0.0605,0.0165,0.0,0.104,0.345,91.993
1182,Adele,2011,Someone Like You,"pop, R&B",4.75,4,0.554,0.321,9,-8.251,1,0.028,0.893,0.0,0.0996,0.288,135.047
1183,Red Hot Chili Peppers,2011,The Adventures of Rain Dance Maggie,rock,4.71,65,0.683,0.734,4,-4.523,0,0.029,0.00112,0.0139,0.258,0.576,106.254
1184,Keri Hilson,2010,Pretty Girl Rock,"pop, R&B",4.07,67,0.666,0.87,11,-5.004,0,0.246,0.203,0.0,0.0851,0.9,160.014
1185,P!nk,2010,F**kin' Perfect,pop,3.56,60,0.563,0.671,7,-4.788,1,0.0373,0.0422,0.0,0.36,0.45,91.964
1186,Blake Shelton,2011,Honey Bee,country,3.51,50,0.481,0.849,4,-5.131,1,0.0385,0.00167,1.49e-06,0.121,0.723,205.57
1187,Lady Gaga,2011,The Edge Of Glory,pop,5.34,67,0.583,0.768,9,-6.477,1,0.041,0.000323,0.0162,0.109,0.357,127.952
1188,Lady A,2011,Just A Kiss,"pop, country",3.65,63,0.593,0.639,1,-5.826,1,0.0307,0.446,0.0,0.0998,0.332,142.881
1189,Hot Chelle Rae,2011,Tonight Tonight,"hip hop, pop, rock",3.34,73,0.686,0.783,4,-4.977,1,0.119,0.0764,0.0,0.163,0.814,99.978
1190,Grouplove,2011,Tongue Tied,"pop, rock, Folk/Acoustic",3.63,79,0.56,0.936,3,-5.835,1,0.0439,0.00847,0.0,0.161,0.371,112.96
1191,Coldplay,2011,Every Teardrop Is a Waterfall,"rock, pop",4.01,69,0.425,0.732,9,-6.883,1,0.0396,0.00194,0.0103,0.171,0.333,117.98
1192,Beyoncé,2011,Best Thing I Never Had,"pop, R&B",4.23,69,0.545,0.649,6,-4.062,1,0.0324,0.143,1.57e-05,0.0894,0.297,99.099
1193,P!nk,2010,Raise Your Glass,pop,3.38,76,0.7,0.709,7,-5.006,1,0.0838,0.0048,0.0,0.029,0.624,122.019
1194,Christina Perri,2011,Jar of Hearts,pop,4.11,72,0.349,0.348,3,-6.142,1,0.0316,0.726,0.0,0.12,0.0886,74.541
1195,Bruno Mars,2010,Marry You,pop,3.84,75,0.621,0.82,10,-4.865,1,0.0367,0.332,0.0,0.104,0.452,144.905
1197,Lil Wayne,2011,How To Love,"hip hop, pop",4.01,0,0.644,0.661,11,-6.093,1,0.0418,0.000177,5.23e-06,0.108,0.272,153.992
1198,Charlene Soraia,2011,Wherever You Will Go,pop,3.29,60,0.597,0.115,9,-9.217,1,0.0334,0.82,0.000215,0.111,0.128,111.202
1199,Christina Perri,2011,A Thousand Years,pop,4.75,70,0.421,0.407,10,-7.445,1,0.0267,0.309,0.000961,0.11,0.161,139.028
1201,Carly Rae Jepsen,2012,Call Me Maybe,"pop, Dance/Electronic",3.22,78,0.783,0.58,7,-6.548,1,0.0408,0.0114,2.28e-06,0.108,0.66,120.021
1202,fun.,2012,We Are Young (feat. Janelle Monáe),"rock, pop",4.18,76,0.378,0.638,10,-5.576,1,0.075,0.02,7.66e-05,0.0849,0.735,184.086
1203,Sean Paul,2012,She Doesn't Mind,"hip hop, pop",3.8,70,0.718,0.776,7,-5.208,0,0.0693,0.000624,5.3e-06,0.207,0.622,120.015
1204,Pitbull,2011,International Love (feat. Chris Brown),"hip hop, pop, latin",3.79,74,0.67,0.855,0,-3.035,0,0.0499,0.0124,0.0,0.335,0.648,120.05
1205,DEV,2012,In The Dark,"pop, Dance/Electronic",3.77,52,0.736,0.824,8,-4.231,1,0.0672,0.00358,0.000921,0.329,0.443,124.954
1206,Adele,2012,Skyfall,"pop, R&B",4.77,74,0.346,0.552,0,-6.864,0,0.0282,0.417,0.0,0.114,0.0789,75.881
1207,David Guetta,2012,Turn Me On (feat. Nicki Minaj),"hip hop, pop, Dance/Electronic",3.33,65,0.704,0.793,8,-2.266,1,0.0591,0.0488,0.0,0.575,0.412,127.96
1208,Rihanna,2011,Where Have You Been,"hip hop, pop, R&B",4.04,71,0.719,0.847,0,-6.34,0,0.0916,0.00201,0.0204,0.223,0.444,127.963
1209,JAY-Z,2011,Ni**as In Paris,hip hop,3.66,82,0.789,0.858,1,-5.542,1,0.311,0.127,0.0,0.349,0.775,140.022
1210,Maroon 5,2012,One More Night,pop,3.66,74,0.716,0.821,5,-3.435,0,0.0314,0.0558,0.0,0.0844,0.618,92.997
1211,Skrillex,2011,Bangarang (feat. Sirah),"hip hop, pop, Dance/Electronic",3.59,70,0.716,0.972,7,-2.302,1,0.196,0.0145,3.22e-05,0.317,0.576,110.026
1212,The Wanted,2012,Chasing The Sun,"pop, Dance/Electronic",3.31,69,0.637,0.732,7,-6.209,0,0.0965,0.244,0.0,0.498,0.68,128.108
1213,Flo Rida,2012,Whistle,"hip hop, pop",3.74,77,0.747,0.937,0,-5.746,1,0.0453,0.0208,0.0,0.29,0.739,103.976
1214,will.i.am,2013,This Is Love,"hip hop, pop",4.65,62,0.535,0.796,0,-3.446,0,0.0445,0.00473,0.0,0.145,0.282,128.954
1215,David Guetta,2012,She Wolf (Falling to Pieces) [feat. Sia],"hip hop, pop, Dance/Electronic",3.71,66,0.492,0.857,7,-2.634,1,0.0655,0.0841,7.82e-06,0.344,0.393,129.973
1216,Nicki Minaj,2012,Pound The Alarm,"hip hop, pop",3.43,64,0.728,0.858,9,-3.686,1,0.0609,0.0403,4.09e-06,0.0241,0.591,125.055
1217,Kendrick Lamar,2012,Swimming Pools (Drank) - Extended Version,hip hop,5.23,63,0.716,0.485,1,-7.745,1,0.404,0.123,2.69e-05,0.604,0.26,74.132
1218,MARINA,2012,Primadonna,"pop, Dance/Electronic",3.68,78,0.66,0.689,4,-2.671,0,0.0337,0.0884,0.0,0.0922,0.427,127.98
1219,Kanye West,2012,Mercy,hip hop,5.49,73,0.563,0.496,6,-9.381,0,0.406,0.0685,5.8e-05,0.173,0.426,139.993
1220,DJ Fresh,2012,Hot Right Now (feat. RITA ORA) - Radio Edit,"pop, Dance/Electronic",3.04,58,0.524,0.972,4,-1.569,0,0.0431,0.00656,0.00058,0.224,0.476,175.017
1222,PSY,2012,Gangnam Style (강남스타일),pop,3.66,72,0.727,0.937,11,-2.871,0,0.286,0.00417,0.0,0.091,0.749,132.067
1223,Kesha,2012,Die Young,"pop, Dance/Electronic",3.53,78,0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.801,128.001
1224,Usher,2012,Scream,"hip hop, pop, R&B",3.91,66,0.616,0.862,7,-5.18,0,0.0973,0.00117,0.0,0.179,0.569,127.992
1225,Olly Murs,2012,Troublemaker (feat. Flo Rida),"pop, Dance/Electronic",3.09,0,0.762,0.863,0,-3.689,0,0.0565,0.015,0.0,0.125,0.965,106.008
1226,Linkin Park,2012,BURN IT DOWN,"rock, metal",3.84,73,0.585,0.972,9,-4.45,0,0.0534,0.0143,0.0,0.0707,0.585,110.006
1227,Bruno Mars,2012,Locked out of Heaven,pop,3.89,85,0.726,0.698,5,-4.165,1,0.0431,0.049,0.0,0.309,0.867,143.994
1228,Avicii,2011,Levels - Radio Edit,"pop, Dance/Electronic",3.33,77,0.584,0.889,1,-5.941,0,0.0343,0.0462,0.828,0.309,0.464,126.04
1229,Flo Rida,2012,Good Feeling,"hip hop, pop",4.14,76,0.706,0.89,1,-4.444,0,0.0688,0.0588,0.00286,0.306,0.684,128.011
1230,Rihanna,2012,Diamonds,"hip hop, pop, R&B",3.75,75,0.564,0.71,11,-4.92,0,0.0461,0.00125,0.0,0.109,0.393,91.972
1231,Wiz Khalifa,2012,"Work Hard, Play Hard","hip hop, pop",3.65,62,0.787,0.666,11,-4.475,1,0.0485,0.0409,1.91e-05,0.296,0.485,140.008
1232,Katy Perry,2012,Part Of Me,pop,3.6,73,0.678,0.918,5,-4.63,1,0.0355,0.000417,0.0,0.0744,0.769,130.028
1233,Nicki Minaj,2012,Starships,"hip hop, pop",3.51,75,0.747,0.716,11,-2.457,0,0.075,0.135,0.0,0.251,0.751,125.008
1234,Kendrick Lamar,2012,m.A.A.d city,hip hop,5.84,67,0.487,0.729,2,-6.815,1,0.271,0.0538,4.07e-06,0.44,0.217,91.048
1235,Asaf Avidan & the Mojos,2012,One Day / Reckoning Song (Wankelmut Remix) [Radio Edit],pop,3.54,0,0.821,0.676,3,-6.366,0,0.0547,0.187,0.0001,0.0927,0.559,119.012
1236,Florence + The Machine,2011,Spectrum (Say My Name) - Calvin Harris Remix,"rock, pop, Dance/Electronic",3.64,68,0.578,0.946,11,-3.85,0,0.0482,0.00225,0.00412,0.0966,0.588,126.092
1237,Azealia Banks,2014,212,"hip hop, pop, R&B",3.42,0,0.847,0.769,11,-5.761,0,0.258,0.0145,0.00012,0.0767,0.626,126.017
1238,Maroon 5,2012,Payphone,pop,3.85,82,0.743,0.752,4,-4.813,1,0.0414,0.0188,0.0,0.287,0.545,110.015
1239,James Arthur,2013,Impossible,pop,3.49,75,0.376,0.695,0,-4.782,0,0.0933,0.135,0.0,0.11,0.302,169.533
1240,Michel Teló,2012,Ai Se Eu Te Pego - Live,"country, latin",2.78,0,0.676,0.935,11,-4.55,1,0.0692,0.357,0.0,0.853,0.85,96.055
1241,Otto Knows,2012,Million Voices - Radio Edit,"pop, Dance/Electronic",3.21,0,0.582,0.894,8,-6.298,1,0.041,0.0022,0.0223,0.0664,0.0694,125.946
